                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.75434,                0.42248,                0.86807,                0.87332,                0.78439,                0.84653,                0.43827,                 1.7513,                 0.8931,                 1.3293,                 0.0706,              0.0032667,              0.0032667
                      1,                0.82709,                0.46244,                0.88374,                0.84234,                 0.7854,                0.82996,                0.42218,                 1.7917,                 0.9459,                 1.3517,               0.040535,              0.0065347,              0.0065347
                      2,                0.87346,                0.48382,                0.90111,                0.92231,                0.71472,                0.82081,                0.40997,                  1.814,                0.96881,                 1.3565,               0.010403,              0.0097367,              0.0097367
