                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0968,                0.60709,                0.96834,                0.88985,                 0.7125,                0.80178,                0.37739,                 1.8564,                  1.004,                 1.3607,               0.006634,               0.006634,               0.006634
                     36,                 1.0862,                0.60378,                0.96395,                0.87134,                0.74168,                0.78828,                 0.3617,                 1.8834,                0.95589,                 1.3666,               0.006535,               0.006535,               0.006535
                     37,                 1.0577,                 0.6004,                0.95705,                0.86275,                0.73688,                0.78311,                0.35003,                 2.0362,                 1.0353,                 1.4146,               0.006436,               0.006436,               0.006436
                     38,                 1.0765,                0.59407,                0.96469,                0.86846,                0.73013,                0.80393,                0.38709,                 1.8143,                0.99295,                 1.2943,               0.006337,               0.006337,               0.006337
                     39,                 1.0614,                0.60169,                0.94849,                0.89741,                0.72095,                0.81524,                0.39534,                 1.7906,                0.95326,                 1.2953,               0.006238,               0.006238,               0.006238
                     40,                 1.0283,                0.58587,                0.95202,                0.87487,                0.78559,                0.82745,                0.41035,                 1.7545,                0.95258,                 1.2858,               0.006139,               0.006139,               0.006139
                     41,                 1.0237,                0.56946,                0.95326,                0.88979,                0.73987,                0.82319,                0.40652,                 1.7998,                0.96584,                 1.3081,                0.00604,                0.00604,                0.00604
                     42,                 1.0439,                0.59387,                0.95467,                0.87683,                0.74554,                0.80164,                0.36385,                 1.9116,                0.99295,                 1.3852,               0.005941,               0.005941,               0.005941
                     43,                 1.0507,                0.56829,                0.95213,                0.86818,                0.78867,                0.82918,                0.39168,                 1.8344,                0.90252,                 1.3188,               0.005842,               0.005842,               0.005842
                     44,                 1.0259,                0.56161,                0.94294,                0.85926,                0.79564,                0.81964,                0.39023,                 1.8216,                0.94001,                 1.3225,               0.005743,               0.005743,               0.005743
                     45,                 1.0602,                 0.5809,                0.95798,                0.88239,                0.70824,                0.78858,                0.37856,                 1.9071,                 0.9862,                 1.3734,               0.005644,               0.005644,               0.005644
