loss,accuracy,val_loss,val_accuracy
2.5264010429382324,0.33692681789398193,2.3913958072662354,0.3542359471321106
0.8644747138023376,0.7304636836051941,0.4077526926994324,0.8783056139945984
0.4371602535247803,0.8687955141067505,0.2698793411254883,0.9185273051261902
0.2690393328666687,0.9213948249816895,0.17568065226078033,0.9490103125572205
0.1922198086977005,0.9442074298858643,0.2158837914466858,0.9463182687759399
0.14131860435009003,0.9609912037849426,0.17905564606189728,0.9509105086326599
0.11167223751544952,0.9677608609199524,0.1119774878025055,0.9692794680595398
0.09182842820882797,0.9752969741821289,0.13939878344535828,0.9626286625862122
0.07617295533418655,0.9788989424705505,0.1717236489057541,0.958748996257782
0.06911096721887589,0.9805338978767395,0.10418840497732162,0.9735550284385681
