loss,accuracy,val_loss,val_accuracy
2.2345328330993652,0.3765985071659088,0.8602498769760132,0.7339667677879333
0.8365022540092468,0.7342318296432495,0.3779737949371338,0.8762470483779907
0.4543064832687378,0.8603772521018982,0.19621030986309052,0.9458432197570801
0.28340986371040344,0.9165837168693542,0.16968964040279388,0.9522565603256226
0.20678749680519104,0.9405518770217896,0.1398143172264099,0.96421217918396
0.15553273260593414,0.9543354511260986,0.10753282159566879,0.972050666809082
0.12361123412847519,0.9644178748130798,0.08796022087335587,0.9776722192764282
0.106735460460186,0.9704163074493408,0.15066276490688324,0.9628661870956421
0.08863162994384766,0.9747045636177063,0.1001351848244667,0.9752969145774841
0.0829365998506546,0.9773591756820679,0.09041264653205872,0.9790182113647461
