                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4696,                0.90002,                 1.1258,                0.91599,                0.71134,                0.80635,                0.37483,                 1.8202,                 1.0459,                 1.2679,               0.006733,               0.006733,               0.006733
                     35,                 1.4981,                0.90627,                  1.112,                0.80643,                0.74481,                  0.789,                0.37555,                 1.8428,                 1.0339,                 1.2829,               0.006634,               0.006634,               0.006634
                     36,                 1.4694,                0.86924,                  1.111,                0.82121,                0.73194,                0.77339,                0.34205,                 1.9264,                 1.0146,                 1.3033,               0.006535,               0.006535,               0.006535
                     37,                 1.4275,                0.85934,                 1.0953,                0.89096,                0.71554,                0.77708,                0.34744,                 1.9179,                 1.0579,                 1.2935,               0.006436,               0.006436,               0.006436
                     38,                 1.4579,                0.87945,                 1.1029,                0.85317,                0.68533,                 0.7631,                0.38082,                  1.795,                 1.0962,                 1.2384,               0.006337,               0.006337,               0.006337
                     39,                 1.4346,                0.85131,                 1.0813,                 0.8679,                0.73503,                0.79247,                0.36906,                 1.8589,                 1.0468,                 1.2841,               0.006238,               0.006238,               0.006238
                     40,                 1.3846,                 0.8381,                 1.0767,                0.90766,                0.72907,                0.81462,                0.38233,                 1.8105,                 1.0096,                 1.2674,               0.006139,               0.006139,               0.006139
                     41,                  1.393,                0.81184,                 1.0896,                0.89337,                0.72908,                0.81522,                0.35748,                 1.8891,                 1.0211,                 1.2851,                0.00604,                0.00604,                0.00604
                     42,                 1.4071,                0.82727,                 1.0783,                0.84953,                0.71532,                0.77199,                0.35604,                 1.9246,                 1.0128,                 1.3131,               0.005941,               0.005941,               0.005941
                     43,                 1.3998,                0.80463,                 1.0719,                0.84753,                0.74813,                0.80294,                0.38104,                  1.849,                 1.0139,                 1.2949,               0.005842,               0.005842,               0.005842
                     44,                 1.3595,                0.79482,                 1.0563,                0.88349,                 0.7383,                0.79735,                0.36729,                 1.8772,                 1.0165,                 1.2942,               0.005743,               0.005743,               0.005743
                     45,                 1.4047,                0.81041,                  1.082,                0.86975,                0.70897,                0.77511,                 0.3195,                 2.0818,                 1.0335,                 1.4089,               0.005644,               0.005644,               0.005644
                     46,                 1.3555,                0.78707,                 1.0603,                0.86519,                0.74266,                0.81258,                0.35944,                 1.8964,                 1.0086,                 1.2868,               0.005545,               0.005545,               0.005545
                     47,                 1.3649,                0.77397,                 1.0697,                0.88273,                0.74715,                0.79946,                0.36407,                 1.8853,                 1.0107,                 1.2922,               0.005446,               0.005446,               0.005446
                     48,                 1.3115,                0.75266,                 1.0478,                0.89471,                0.73011,                0.80882,                0.39042,                 1.8233,                0.96862,                 1.2586,               0.005347,               0.005347,               0.005347
                     49,                 1.3129,                0.74778,                 1.0414,                0.86771,                0.73622,                0.83594,                0.40634,                 1.7558,                0.95168,                 1.2375,               0.005248,               0.005248,               0.005248
                     50,                 1.2691,                0.72473,                 1.0327,                0.84651,                 0.7471,                0.78938,                0.36825,                 1.8907,                 1.0182,                 1.3152,               0.005149,               0.005149,               0.005149
                     51,                 1.3164,                0.72609,                 1.0399,                0.82656,                0.77087,                0.81044,                0.35817,                 1.9028,                0.98677,                 1.3009,                0.00505,                0.00505,                0.00505
                     52,                 1.3058,                0.73471,                 1.0257,                0.86921,                0.75538,                0.84021,                0.39863,                 1.7697,                0.94447,                 1.2379,               0.004951,               0.004951,               0.004951
                     53,                 1.2934,                0.70437,                 1.0297,                0.91746,                0.73119,                0.82311,                0.39077,                 1.8052,                0.92683,                 1.2711,               0.004852,               0.004852,               0.004852
                     54,                 1.3101,                0.71766,                 1.0375,                 0.8726,                0.73037,                0.79787,                0.35974,                 1.9293,                0.96678,                 1.3365,               0.004753,               0.004753,               0.004753
                     55,                 1.2409,                0.69949,                 1.0202,                0.87782,                0.73982,                0.82174,                0.39697,                 1.8287,                0.93298,                 1.2727,               0.004654,               0.004654,               0.004654
                     56,                 1.2852,                0.70776,                 1.0333,                0.85321,                0.73436,                0.80398,                0.39562,                 1.8143,                0.97953,                 1.2792,               0.004555,               0.004555,               0.004555
                     57,                 1.2635,                0.69991,                 1.0253,                0.84234,                0.76869,                0.82247,                 0.3988,                 1.8103,                0.95293,                 1.2574,               0.004456,               0.004456,               0.004456
                     58,                 1.2186,                0.68601,                 1.0067,                0.84054,                0.76357,                0.80558,                0.38207,                 1.8357,                0.94664,                 1.2744,               0.004357,               0.004357,               0.004357
                     59,                 1.2278,                0.68302,                 1.0169,                0.86798,                0.74458,                0.81221,                0.40404,                 1.7796,                0.92497,                 1.2518,               0.004258,               0.004258,               0.004258
                     60,                 1.2338,                0.66774,                 1.0154,                0.88823,                0.75126,                0.81495,                0.37943,                 1.8858,                0.93284,                 1.3092,               0.004159,               0.004159,               0.004159
                     61,                 1.2367,                0.69583,                 1.0225,                0.84844,                0.73648,                0.78393,                0.35226,                 1.9326,                 1.0039,                 1.3445,                0.00406,                0.00406,                0.00406
                     62,                 1.2083,                0.66611,                 1.0079,                0.87622,                0.77664,                0.83424,                0.39348,                 1.8395,                0.90158,                 1.2875,               0.003961,               0.003961,               0.003961
                     63,                 1.2256,                0.66183,                 1.0065,                0.90518,                0.73064,                0.81325,                0.40229,                 1.7779,                0.95225,                 1.2623,               0.003862,               0.003862,               0.003862
                     64,                 1.1942,                0.66034,                0.98736,                   0.92,                 0.7513,                0.82852,                 0.4048,                 1.7851,                0.91344,                 1.2537,               0.003763,               0.003763,               0.003763
                     65,                 1.1445,                0.62438,                0.98708,                0.85855,                0.76203,                0.80837,                0.38768,                 1.8521,                0.94904,                 1.2997,               0.003664,               0.003664,               0.003664
                     66,                 1.1856,                0.65861,                0.99602,                0.88511,                0.76822,                0.81654,                0.39933,                 1.8246,                0.91944,                 1.2891,               0.003565,               0.003565,               0.003565
                     67,                 1.1642,                 0.6352,                0.99235,                0.88051,                0.75111,                 0.8111,                0.37978,                 1.8538,                0.94879,                 1.2949,               0.003466,               0.003466,               0.003466
                     68,                 1.1522,                0.63119,                0.98211,                0.85415,                 0.7509,                0.79191,                0.36512,                 1.8929,                0.96246,                 1.3355,               0.003367,               0.003367,               0.003367
                     69,                 1.1476,                0.64484,                0.97582,                0.87936,                0.74095,                0.81073,                 0.3956,                  1.833,                0.94618,                  1.292,               0.003268,               0.003268,               0.003268
                     70,                  1.123,                0.62837,                0.97385,                0.84283,                0.78747,                0.83203,                0.40891,                 1.7842,                0.93055,                 1.2793,               0.003169,               0.003169,               0.003169
                     71,                 1.1302,                0.62709,                0.97504,                0.89245,                0.73338,                0.81577,                0.39488,                 1.8255,                0.94125,                 1.2983,                0.00307,                0.00307,                0.00307
                     72,                 1.1133,                0.60815,                0.97137,                0.88992,                0.76418,                0.82638,                0.38563,                 1.8409,                0.89814,                  1.312,               0.002971,               0.002971,               0.002971
                     73,                 1.1092,                 0.6154,                0.97204,                0.86177,                0.78315,                 0.8241,                0.39207,                 1.8369,                0.89464,                 1.3139,               0.002872,               0.002872,               0.002872
                     74,                 1.1183,                0.62152,                0.98324,                0.87492,                0.73168,                0.79851,                0.36553,                   1.95,                0.94776,                 1.3771,               0.002773,               0.002773,               0.002773
                     75,                 1.1127,                0.60224,                0.95904,                0.84078,                0.80409,                0.84057,                0.41561,                 1.7964,                0.87366,                 1.2837,               0.002674,               0.002674,               0.002674
                     76,                 1.0655,                 0.5793,                0.96048,                0.84934,                0.76748,                0.82425,                0.41392,                 1.8037,                0.91505,                 1.2785,               0.002575,               0.002575,               0.002575
                     77,                 1.0919,                0.58697,                0.95543,                0.88702,                0.73382,                0.82164,                0.41282,                  1.809,                0.90576,                 1.2946,               0.002476,               0.002476,               0.002476
                     78,                 1.0659,                0.56951,                0.94848,                0.86357,                0.78716,                0.84117,                0.41814,                 1.7996,                0.91295,                 1.2873,               0.002377,               0.002377,               0.002377
                     79,                  1.052,                0.57512,                0.94708,                0.86755,                0.77173,                0.81622,                0.39344,                 1.8609,                0.95489,                 1.3379,               0.002278,               0.002278,               0.002278
                     80,                 1.0276,                0.56169,                0.93956,                0.85062,                0.76693,                0.80454,                0.39103,                 1.8485,                0.90797,                 1.3199,               0.002179,               0.002179,               0.002179
                     81,                 1.0708,                 0.5727,                0.95896,                0.81233,                0.79989,                0.82388,                0.40399,                 1.8182,                0.92111,                 1.3057,                0.00208,                0.00208,                0.00208
                     82,                 1.0505,                0.57329,                0.95352,                0.85287,                0.78553,                0.82531,                 0.4122,                 1.7996,                0.91714,                 1.2962,               0.001981,               0.001981,               0.001981
                     83,                 1.0476,                 0.5861,                0.94473,                0.85973,                0.78747,                0.83234,                0.41737,                 1.7866,                0.88627,                 1.2829,               0.001882,               0.001882,               0.001882
